leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
LALIGA,1,{'Hanke':'34'''},,,,,"{'Caldentey':'A. Ramallets,45'''}",Barcelona,,,,,,-533779200000,1953-02-01,1952/1953,2,"{'Galacho':'23''','Mora':'44'''}",,,{'Rubio':'89'''},,,CD Málaga,,,,,,18
LALIGA,0,,,,,,,R. Sociedad,,,,,,-541641600000,1952-11-02,1952/1953,3,"{'E. Basora':'70''','G. Biosca':'55''','Moreno':'68'''}",,,,,,Barcelona,,,,,,8
LALIGA,2,"{'Doménech':'7'',83'''}",,,,,,Sevilla,,,,,,-540432000000,1952-11-16,1952/1953,3,"{'César Rodríguez':'62''','A. Bosch':'11''','Moreno':'69'''}",,,,,,Barcelona,,,,,,10
LALIGA,0,,,,{'Tacoronte':'42'''},,,Real Zaragoza,,,,,,-531360000000,1953-03-01,1952/1953,8,"{'E. Basora':'36''','César Rodríguez':'86''','E. Manchón':'21'',57''','Moreno':'3'',5'',81'''}",,,,,,Barcelona,,,,,,22
LALIGA,1,{'Buqué':'50'''},,,,,,Valencia,,,,,,-527126400000,1953-04-19,1952/1953,2,"{'L. Kubala':'71''','E. Manchón':'35'''}",,,,,"{'A. Ramallets':'Velasco,45'''}",Barcelona,,,,,,28
LALIGA,3,"{'Araujo':'25''','Uncilla':'65'''}",,,,,,Sevilla,,,,,,-541641600000,1952-11-02,1952/1953,0,,,,,,,CD Málaga,,,,,,8
LALIGA,3,"{'Juncosa':'12''','Escudero':'87'''}",,,,,,Atlético,,,,,,-545270400000,1952-09-21,1952/1953,1,{'Rodríguez':'80'''},,,,,,CD Málaga,,,,,,2
LALIGA,1,{'Colino':'7'''},,,,,,Espanyol,,,,,,-540432000000,1952-11-16,1952/1953,1,{'Galacho':'19'''},,,,,,CD Málaga,,,,,,10
LALIGA,1,{'Amoedo':'74'''},,,,,,Celta,,,,,,-531360000000,1953-03-01,1952/1953,2,"{'Rodríguez':'47''','Bazán':'45'''}",,,,,,CD Málaga,,,,,,22
LALIGA,1,{'Tini':'73'''},,,,,,Real Valladolid,,,,,,-536198400000,1953-01-04,1952/1953,2,"{'E. Manchón':'50'',68'''}",,,,,,Barcelona,,,,,,14
LALIGA,2,"{'Oswaldo':'20'',65'''}",,,,,,Deportivo,,,,,,-536198400000,1953-01-04,1952/1953,1,{'Galacho':'33'''},,,,,,CD Málaga,,,,,,14
LALIGA,0,,,,,,"{'Cosme':'Juan Alonso,40'''}",Real Madrid,,,,,,-530150400000,1953-03-15,1952/1953,6,"{'Rodríguez':'43'',88''','Bazán':'13'',25'''}",,,,,,CD Málaga,,,,,,24
LALIGA,0,,,,,,,Athletic,,,,,,-527126400000,1953-04-19,1952/1953,1,{'Gutiérrez':'83'''},,,,,,CD Málaga,,,,,,28
LALIGA,0,,,,,,,Real Zaragoza,,,,,,-532569600000,1953-02-15,1952/1953,1,{'Bazán':'20'''},,,,,,CD Málaga,,,,,,20
LALIGA,2,"{'Magritas':'4'',82'''}",,,,,,Racing,,,,,,-544060800000,1952-10-05,1952/1953,4,"{'Juan':'44''','Bazán':'54'''}",,,,,,CD Málaga,,,,,,4
LALIGA,0,,,,,,,Real Valladolid,,,,,,-538012800000,1952-12-14,1952/1953,3,"{'Rodríguez':'44''','San Emeterio':'70'''}",,,,,,CD Málaga,,,,,,12
LALIGA,4,"{'Paz':'81''','Igoa':'27'',54'',88'''}",,,,,,R. Sociedad,,,,,,-542851200000,1952-10-19,1952/1953,2,"{'Rodríguez':'47''','Juan':'78'''}",,,,,,CD Málaga,,,,,,6
LALIGA,2,"{'Basabe':'52''','Sará':'35'''}",,,,,,Real Oviedo,,,,,,-525916800000,1953-05-03,1952/1953,4,"{'Rodríguez':'77''','Juan':'20'',53''','Bazán':'63'''}",,,,,,CD Málaga,,,,,,30
LALIGA,3,"{'Cholo Dindurra':'50''','Sánchez':'48'',86'''}",,,,,"{'Surribas':'Sión,85'''}",Sporting,,,,,,-534988800000,1953-01-18,1952/1953,2,,,,,,,CD Málaga,,,,,,16
LALIGA,2,{'Vilita':'33'''},,,,,,Atlético,,,,,,-530755200000,1953-03-08,1952/1953,3,"{'Hermida':'75''','Pineda':'57'''}",,,,,,Celta,,,,,,23
LALIGA,0,,,,,,,Deportivo,,,,,,-543456000000,1952-10-12,1952/1953,2,"{'Juanín':'48''','Atienza':'47'''}",,,,,,Celta,,,,,,5
LALIGA,3,"{'E. Basora':'31''','Moreno':'48'',82'''}",,,,,,Barcelona,,,,,,-541036800000,1952-11-09,1952/1953,3,"{'Hermida':'4'',40''','Atienza':'53'''}",,,,,,Celta,,,,,,9
LALIGA,3,"{'Sócrates':'48'',56''','Fuertes':'68'''}",,,{'Puchades':'30'''},,,Valencia,,,,,,-528336000000,1953-04-05,1952/1953,3,"{'Rodríguez':'82'',85''','Bazán':'2'''}",,,{'Becerril':'30'''},,,CD Málaga,,,,,,26
LALIGA,2,{'Panizo':'78'''},,,,,,Athletic,,,,,,-533174400000,1953-02-08,1952/1953,2,"{'Hermida':'38''','Carlos Torres':'52'''}",,,,,,Celta,,,,,,19
LALIGA,1,{'Marcet':'40'''},,,,,,Espanyol,,,,,,-545875200000,1952-09-14,1952/1953,0,,,,,,,Celta,,,,,,1
